cidade;ibge;pib;mat1517;veiculos;motos;populacao;pop1519;pop2024;pop2529;pop60p;jovem;rodovia
Riolândia;3544202;134230;73;2881;522;10821;779;1043;1266;11;3087;52
Riversul;3543501;39914;63;1740;554;6006;542;455;383;17;1381;30
Rosana;3544251;1030975;74;6865;1620;19234;1856;1671;1424;13;4951;60
Roseira;3544301;208116;55;4276;913;9918;825;832;862;11;2518;11
Rubiácea;3544400;54936;73;977;219;2846;232;257;256;13;745;9
Rubinéia;3544509;43109;82;1423;243;2904;212;211;199;21;622;30
Sabino;3544608;85894;57;2348;643;5297;417;426;399;18;1242;8
Sagres;3544707;30057;65;766;150;2378;207;183;167;17;558;6
Sales;3544806;80943;71;2361;372;5644;414;432;452;17;1298;26
Sales Oliveira;3544905;239856;58;5601;964;10868;856;925;938;15;2719;71
Salesópolis;3545001;150994;77;8801;1835;15984;1404;1318;1229;13;3950;29
Salmourão;3545100;56851;63;1285;249;4902;421;416;376;16;1213;12
Saltinho;3545159;149047;73;4694;491;7323;534;597;654;15;1784;7
Salto;3545209;4463025;83;59653;12457;108463;8842;9470;9783;12;28095;39
Salto de Pirapora;3545308;1143568;69;17577;3655;41384;3632;3573;3502;12;10708;37
Salto Grande;3545407;162663;57;3012;668;8872;727;665;645;16;2036;35
Sandovalina;3545506;283994;68;1398;252;3851;361;332;306;11;998;8
Santa Adélia;3545605;234184;62;9031;1337;14507;1126;1163;1218;15;3507;33
Santa Albertina;3545704;119714;67;3123;727;5711;403;448;452;20;1303;19
Santa Bárbara d'Oeste;3545803;4436561;68;119415;31538;182751;13830;15546;16615;12;45991;69
Santa Branca;3546009;228709;55;5289;855;13889;1144;1126;1079;14;3349;23
Santa Clara d'Oeste;3546108;38931;67;934;192;2065;160;165;155;19;481;10
Santa Cruz da Conceição;3546207;113113;66;2154;350;4106;322;320;341;17;983;16
Santa Cruz da Esperança;3546256;29972;64;588;34;1991;183;170;158;16;512;12
Santa Cruz das Palmeiras;3546306;336048;69;14598;2930;31086;2526;2798;3009;12;8333;36
Santa Cruz do Rio Pardo;3546405;1235983;74;26659;6736;44566;3523;3521;3544;16;10588;84
Santa Ernestina;3546504;63962;72;2421;361;5553;473;526;548;11;1547;15
Santa Fé do Sul;3546603;716432;84;19957;5416;29715;2157;2382;2443;18;6982;30
Santa Gertrudes;3546702;1219937;68;12547;3444;22978;1913;2079;2332;9;6324;23
Santa Isabel;3546801;1174903;81;22435;5254;51867;4418;4383;4405;12;13206;42
Santa Lúcia;3546900;89302;70;3384;572;8346;736;747;766;11;2248;20
Santa Maria da Serra;3547007;116389;69;2987;312;5625;474;531;548;12;1552;32
Santa Mercedes;3547106;47735;68;1147;209;2822;238;231;215;16;684;14
Santa Rita do Passa Quatro;3547502;529504;67;15676;3015;26454;1815;1945;1997;20;5757;85
Santa Rita d'Oeste;3547403;38661;81;1218;256;2503;166;181;172;23;519;4
Santa Rosa de Viterbo;3547601;659909;74;12862;2039;24390;1972;2064;2102;15;6137;38
Santa Salete;3547650;18611;81;849;170;1446;101;101;103;21;305;8
Santana da Ponte Pensa;3547205;22335;84;869;138;1597;93;106;106;25;306;9
Santana de Parnaíba;3547304;6326301;76;65015;9503;117640;10484;10547;10561;9;31592;23
Santo Anastácio;3547700;278926;73;11138;3194;20347;1614;1602;1503;17;4719;20
Santo André;3547809;23917939;85;467916;65268;681792;48403;53560;58876;15;160839;17
Santo Antônio da Alegria;3547908;124302;63;2475;246;6405;508;545;553;17;1606;25
Santo Antônio de Posse;3548005;531793;57;11577;2764;21323;1797;1852;1942;12;5591;26
Santo Antônio do Aracanguá;3548054;190520;67;3162;506;7823;636;654;654;13;1943;
Santo Antônio do Jardim;3548104;101801;86;2946;427;5899;443;444;460;16;1347;12
Santo Antônio do Pinhal;3548203;68864;75;3190;746;6524;586;543;501;13;1629;48
Santo Expedito;3548302;24832;79;991;169;2854;226;231;200;18;657;19
Santópolis do Aguapeí;3548401;50724;66;1440;226;4397;357;405;431;13;1193;23
Santos;3548500;16972840;78;259281;67768;421926;27120;29665;32258;20;89042;57
São Bento do Sapucaí;3548609;135137;75;4399;996;10476;865;802;724;16;2391;26
São Bernardo do Campo;3548708;46137870;82;516196;69056;780617;59336;64768;70275;12;194378;175
São Caetano do Sul;3548807;14537139;128;131446;12895;150014;8965;10212;11683;20;30860;
São Carlos;3548906;8273251;81;149735;30168;228526;16758;18588;20474;14;55820;137
São Francisco;3549003;29657;65;1294;294;2759;211;203;181;20;595;7
São João da Boa Vista;3549102;2164018;82;57202;14870;84834;6135;6568;6963;16;19665;69
São João das Duas Pontes;3549201;27073;71;968;138;2537;218;190;177;17;584;5
São João de Iracema;3549250;33029;69;735;159;1803;148;157;133;17;438;
São João do Pau d'Alho;3549300;33368;84;1093;182;2064;160;148;132;23;439;4
São Joaquim da Barra;3549409;1183059;78;29754;9020;47691;3616;3924;4289;13;11829;39
São José da Bela Vista;3549508;103588;59;2125;375;8495;770;751;727;12;2248;23
São José do Barreiro;3549607;37045;63;1124;216;4072;355;314;297;15;966;67
São José do Rio Pardo;3549706;1349177;77;30504;5421;52307;4003;4424;4434;16;12861;71
São José do Rio Preto;3549805;12709750;83;326586;88148;421097;28842;33366;37443;15;99651;79
São José dos Campos;3549904;27433754;82;366479;54904;654833;52079;55152;59388;11;166619;90
São Lourenço da Serra;3549953;210659;73;6354;1006;14436;1322;1282;1243;11;3847;18
São Luís do Paraitinga;3550001;112435;68;4442;1058;10443;885;843;762;16;2490;89
São Manuel;3550100;856783;76;22785;3687;38704;3176;3166;3193;14;9535;94
São Miguel Arcanjo;3550209;438011;62;12321;2970;31589;2886;2674;2521;12;8081;98
São Paulo;3550308;540295628;78;6955351;905753;11445451;854750;921424;1028426;13;2804600;187
São Pedro;3550407;488878;59;19678;4157;32450;2619;2575;2538;17;7731;51
São Pedro do Turvo;3550506;121134;62;2741;576;7240;640;587;552;15;1779;38
São Roque;3550605;1844376;71;38687;6574;81547;6471;6603;6912;14;19986;56
São Sebastião;3550704;4654609;73;26448;7876;77969;6643;6746;7143;9;20532;163
São Sebastião da Grama;3550803;193127;59;4698;693;12029;991;991;977;15;2959;18
São Simão;3550902;319440;77;6894;837;14488;1156;1207;1212;15;3575;65
São Vicente;3551009;4074127;67;114089;44604;339972;27593;27940;28967;12;84501;24
Sarapuí;3551108;111570;69;4391;1470;9345;841;788;757;13;2386;8
Sarutaiá;3551207;35293;59;1204;171;3627;319;308;270;15;897;20
Sebastianópolis do Sul;3551306;221780;82;2446;407;3120;209;243;281;17;733;5
Serra Azul;3551405;114334;67;3070;304;11541;874;1258;1298;10;3430;18
Serra Negra;3551603;477526;59;16491;4331;26729;1911;1981;2055;18;5947;35
Serrana;3551504;537480;67;16919;3481;40572;3559;3807;3987;9;11353;36
Sertãozinho;3551702;4096067;69;74993;22200;114008;8959;9930;10913;11;29802;61
Sete Barras;3551801;212263;65;3948;1468;12827;1208;1014;872;14;3093;92
