cidade;pib;mat1517;veiculos;motos;populacao;taxa_pop1519;taxa_pop2024;taxa_pop2529;pop60p;rodovia;cluster
Itaberá;261198;63;5653;1372;17757;0,093033733;0,082333728;0,075182;14;129;3
Itaí;387868;59;10138;1492;24744;0,081433883;0,083292919;0,087577;11;82;4
Itajobi;325412;67;8929;1661;14591;0,069494894;0,077170859;0,079981;18;23;2
Itaju;54903;68;1160;141;3373;0,083012155;0,088052179;0,096057;15;16;4
Itanhaém;1136392;73;31127;8682;90507;0,085706078;0,077496768;0,072359;16;34;2
Itaóca;26348;81;622;230;3204;0,105805243;0,073657928;0,056804;16;27;2
Itapecerica da Serra;2663345;78;61158;11671;157677;0,091142018;0,092359697;0,091586;8;53;4
Itapetininga;3235444;72;76219;22706;149042;0,08577448;0,09077978;0,089223;12;171;3
Itapeva;1552970;75;46437;12265;88832;0,093693714;0,08690562;0,081288;11;90;3
Itapevi;6988952;71;72148;15883;211379;0,095421021;0,092620364;0,092734;7;31;4
Itapira;2434188;77;45949;14800;69579;0,076359246;0,082812343;0,085644;15;70;3
Itapirapuã Paulista;24847;71;833;289;3955;0,105436157;0,086219975;0,074083;12;27;4
Itápolis;1080913;69;26013;5085;40511;0,074695762;0,08195305;0,085434;16;51;2
Itaporanga;139194;65;5596;1267;14580;0,082510288;0,075514403;0,074348;15;33;2
Itapuí;388859;54;5350;1102;12664;0,0807012;0,087255212;0,090414;13;13;4
Itapura;68671;56;1122;244;4523;0,086889233;0,087994694;0,08092;14;24;4
Itaquaquecetuba;4320719;68;87351;15965;335891;0,097347056;0,093271329;0,090663;7;40;4
Itararé;596263;67;18594;4500;48200;0,093319502;0,086929461;0,079253;13;69;4
Itariri;146838;45;3222;730;15995;0,102407002;0,08777743;0,076461;12;28;4
Itatiba;4163189;74;67097;11897;106638;0,076989441;0,085166639;0,094113;12;79;3
Itatinga;205194;51;6686;1190;18775;0,090439414;0,091984021;0,090386;10;50;4
Itirapina;312410;60;6640;1326;16016;0,080606893;0,125936563;0,117258;11;48;4
Itirapuã;60742;58;2089;341;6020;0,092358804;0,086710963;0,078405;14;14;4
Itobi;76163;50;3154;829;7565;0,081031064;0,088301388;0,090152;14;6;4
Itu;6211762;77;102301;22230;158924;0,081076489;0,084839294;0,089143;12;124;3
Itupeva;2854726;72;25953;4652;49108;0,082002932;0,088885721;0,09868;9;21;4
Ituverava;866857;72;21710;5592;39193;0,077998622;0,079580537;0,083433;15;50;2
Jaborandi;108830;53;2764;812;6622;0,076562972;0,088492902;0,09257;14;14;4
Jaboticabal;1989387;79;47836;12811;72493;0,0756073;0,082283807;0,086477;15;109;3
Jacareí;7892662;77;110368;19818;216418;0,079725346;0,079646795;0,082239;12;127;3
Jaci;291411;69;3122;652;6056;0,078929987;0,086195509;0,096103;11;12;4
Jacupiranga;284360;62;6460;1615;17179;0,094999709;0,082426218;0,072705;13;62;4
Jaguariúna;5033582;73;31836;8418;47795;0,078083482;0,086619939;0,096161;11;30;4
Jales;925297;89;36769;12549;47102;0,070782557;0,075007431;0,07798;17;70;3
Jambeiro;253795;59;1988;287;5634;0,084664537;0,086084487;0,087149;13;31;4
Jandira;2456708;68;44354;8896;112860;0,088525607;0,091112883;0,097005;8;9;4
Jardinópolis;681421;62;18264;3794;39306;0,084872539;0,087874625;0,088307;12;81;4
Jarinu;875799;79;13245;3011;25653;0,08618875;0,087670058;0,088645;12;24;4
Jaú;3273346;72;88649;23331;136178;0,07464495;0,081694547;0,088847;14;108;3
Jeriquara;58518;65;1170;162;3153;0,089755788;0,087218522;0,083413;12;12;4
Joanópolis;135602;56;7432;2028;12051;0,075180483;0,084889221;0,085636;16;27;2
